Time,Velocity,Omega
1571250110.426500,0.300000,-0.428745
1571250110.508428,0.300000,-0.576562
1571250110.569300,0.300000,-0.888247
1571250110.661318,0.300000,-1.417345
1571250110.711262,0.300000,-0.664550
1571250110.754723,0.300000,-0.940858
1571250110.816504,0.300000,-0.142986
1571250110.872164,0.300000,-2.076104
1571250110.910613,0.300000,-0.590481
1571250110.975887,0.300000,-0.497835
1571250111.017763,0.300000,-0.835744
1571250111.135255,0.300000,-0.188159
1571250111.191224,0.300000,2.210162
1571250111.242177,0.300000,0.180110
1571250111.289880,0.300000,2.530832
1571250111.339972,0.300000,3.273488
1571250111.384924,0.300000,0.079084
1571250111.418372,0.300000,-0.039326
1571250111.524476,0.300000,-0.423241
1571250111.557256,0.300000,-0.807399
1571250111.638104,0.300000,-1.093642
1571250111.682616,0.300000,-0.898485
1571250111.725409,0.300000,-1.472023
1571250111.753300,0.300000,-1.865809
1571250111.801731,0.300000,-2.023921
1571250111.860231,0.300000,-1.852401
1571250111.915198,0.300000,-2.438033
1571250111.964786,0.300000,-2.961325
1571250112.002635,0.300000,-3.115534
1571250112.049830,0.300000,-2.953095
1571250112.108042,0.300000,-2.929602
1571250112.164045,0.300000,-3.141945
1571250112.217171,0.300000,-2.789002
1571250112.277022,0.300000,-2.272128
1571250112.346370,0.300000,-2.406702
1571250112.387707,0.300000,-2.080947
1571250112.442723,0.300000,2.005006
1571250112.516742,0.300000,2.054095
1571250112.552560,0.300000,-1.670731
1571250112.624149,0.300000,-1.233512
1571250112.702871,0.300000,2.694918
1571250112.729925,0.300000,2.890068
1571250112.768056,0.300000,2.668254
1571250112.815455,0.300000,3.083560
1571250112.898965,0.300000,3.118185
1571250112.932925,0.300000,2.654274
1571250113.000389,0.300000,3.215800
1571250113.063684,0.300000,3.432375
1571250113.137634,0.300000,3.316497
1571250113.181451,0.300000,2.603616
1571250113.223953,0.300000,2.810120
1571250113.273306,0.300000,2.399155
1571250113.308154,0.300000,3.284381
1571250113.368269,0.300000,4.153374
1571250113.415209,0.300000,2.373561
1571250113.478450,0.300000,3.074422
1571250113.517583,0.300000,0.521396
1571250113.609746,0.300000,-0.834420
1571250113.674754,0.300000,1.757374
1571250113.714661,0.300000,0.201968
1571250113.779547,0.300000,-0.468056
1571250113.850805,0.300000,-1.089488
1571250113.898224,0.300000,-2.311147
1571250113.938246,0.300000,-0.264912
1571250113.975545,0.300000,-2.068225
1571250114.020954,0.300000,-2.244220
1571250114.061338,0.300000,-0.964911
1571250114.107130,0.300000,0.705448
1571250114.162650,0.300000,-2.328971
1571250114.208535,0.300000,-2.097859
1571250114.251710,0.300000,-0.654665
1571250114.295432,0.300000,-0.858228
1571250114.354773,0.300000,-0.668515
1571250114.395366,0.300000,2.777447
1571250114.445518,0.300000,3.562318
1571250114.498841,0.300000,3.270502
1571250114.539709,0.300000,3.779339
1571250114.575133,0.300000,3.987890
1571250114.637189,0.300000,3.722891
1571250114.692294,0.300000,3.279017
1571250114.769182,0.300000,3.376879
1571250114.816796,0.300000,2.135387
1571250114.861544,0.300000,-1.449766
1571250114.912804,0.300000,2.383472
1571250114.965931,0.300000,-1.422881
1571250115.021839,0.300000,-2.286454
1571250115.084916,0.300000,-1.916977
1571250115.147274,0.300000,-2.768858
1571250115.183470,0.300000,-3.499539
1571250115.249834,0.300000,-3.286382
1571250115.340918,0.300000,-3.512099
1571250115.398907,0.300000,-3.143521
1571250115.509250,0.300000,-3.027752
